Subject,StartTime,EndTime,Condition,Code,Duration
1266,2022-02-04 06:28:16am,2022-02-04 06:33:14am,climate,18410143,4.9666666666667
1258,2022-02-04 06:26:22am,2022-02-04 06:34:20am,climate,46989264,7.9666666666667
1277,2022-02-04 06:32:06am,2022-02-04 06:35:46am,climate,09959500,3.6666666666667
1237,2022-02-04 06:17:36am,2022-02-04 06:36:51am,climate,95824085,19.25
1211,2022-02-04 06:14:06am,2022-02-04 06:36:56am,climate,11799153,22.833333333333
1234,2022-02-04 06:17:53am,2022-02-04 06:37:00am,climate,06643954,19.116666666667
1093,2022-02-04 05:55:57am,2022-02-04 06:37:05am,climate,52684679,41.133333333333
1103,2022-02-04 05:57:45am,2022-02-04 06:37:06am,climate,31619912,39.35
1245,2022-02-04 06:20:58am,2022-02-04 06:37:09am,climate,22823592,16.183333333333
1270,2022-02-04 06:29:52am,2022-02-04 06:37:14am,climate,08787331,7.3666666666667
1250,2022-02-04 06:22:46am,2022-02-04 06:37:16am,climate,05516766,14.5
1272,2022-02-04 06:30:31am,2022-02-04 06:37:34am,climate,95724547,7.05
1290,2022-02-04 06:34:52am,2022-02-04 06:38:16am,climate,56090230,3.4
1112,2022-02-04 05:58:12am,2022-02-04 06:38:54am,climate,87188994,40.7
1259,2022-02-04 06:26:13am,2022-02-04 06:39:09am,climate,53915348,12.933333333333
1271,2022-02-04 06:30:08am,2022-02-04 06:39:10am,climate,37249628,9.0333333333333
1284,2022-02-04 06:32:55am,2022-02-04 06:39:11am,climate,30454534,6.2666666666667
1247,2022-02-04 06:22:02am,2022-02-04 06:39:39am,climate,55595803,17.616666666667
1244,2022-02-04 06:20:39am,2022-02-04 06:39:39am,climate,00326605,19
1262,2022-02-04 06:27:03am,2022-02-04 06:39:45am,climate,69669930,12.7
1291,2022-02-04 06:35:10am,2022-02-04 06:39:59am,climate,53301830,4.8166666666667
1228,2022-02-04 06:16:41am,2022-02-04 06:40:01am,climate,37641375,23.333333333333
1281,2022-02-04 06:32:04am,2022-02-04 06:40:37am,climate,44441193,8.55
1261,2022-02-04 06:26:36am,2022-02-04 06:41:01am,climate,55833531,14.416666666667
1282,2022-02-04 06:32:09am,2022-02-04 06:41:20am,climate,61247444,9.1833333333333
1276,2022-02-04 06:31:52am,2022-02-04 06:41:42am,climate,58674061,9.8333333333333
1286,2022-02-04 06:33:04am,2022-02-04 06:41:42am,climate,66073059,8.6333333333333009
1285,2022-02-04 06:32:39am,2022-02-04 06:42:29am,climate,65478568,9.8333333333333
1304,2022-02-04 06:38:58am,2022-02-04 06:45:20am,climate,23548717,6.3666666666667
1310,2022-02-04 06:40:01am,2022-02-04 06:47:27am,climate,76646077,7.4333333333333
1316,2022-02-04 06:41:29am,2022-02-04 06:47:40am,climate,43419860,6.1833333333333
1329,2022-02-04 06:46:09am,2022-02-04 06:48:50am,climate,90742838,2.6833333333333
1308,2022-02-04 06:39:24am,2022-02-04 06:49:09am,climate,66807343,9.75
1317,2022-02-04 06:41:40am,2022-02-04 06:49:23am,climate,17277208,7.7166666666667
1280,2022-02-04 06:27:22am,2022-02-04 06:49:26am,climate,60189957,22.066666666667
1323,2022-02-04 06:44:51am,2022-02-04 06:50:36am,climate,19300074,5.75
1320,2022-02-04 06:44:00am,2022-02-04 06:51:07am,climate,16986150,7.1166666666667
1309,2022-02-04 06:37:45am,2022-02-04 06:52:22am,climate,40224578,14.616666666667
1300,2022-02-04 06:38:05am,2022-02-04 06:52:27am,climate,34035841,14.366666666667
1301,2022-02-04 06:38:15am,2022-02-04 06:52:33am,climate,14497242,14.3
1275,2022-02-04 06:31:34am,2022-02-04 06:53:20am,climate,21175309,21.766666666667
1293,2022-02-04 06:35:49am,2022-02-04 06:53:30am,climate,57881791,17.683333333333
1226,2022-02-04 06:16:03am,2022-02-04 06:53:33am,climate,66743414,37.5
1324,2022-02-04 06:44:52am,2022-02-04 06:55:30am,climate,85531310,10.633333333333
