Subject,StartTime,EndTime,Condition,Code,Duration
2205,2022-02-04 06:00:49am,2022-02-04 06:18:48am,neutral,67004152,17.983333333333
2156,2022-02-04 05:53:54am,2022-02-04 06:18:48am,neutral,03174364,24.9
2241,2022-02-04 06:08:33am,2022-02-04 06:20:13am,neutral,54823560,11.666666666667
2262,2022-02-04 06:10:42am,2022-02-04 06:20:22am,neutral,40061527,9.6666666666667
2243,2022-02-04 06:09:03am,2022-02-04 06:21:35am,neutral,27688004,12.533333333333
2252,2022-02-04 06:08:38am,2022-02-04 06:21:46am,neutral,51834570,13.133333333333
2284,2022-02-04 06:15:34am,2022-02-04 06:22:09am,neutral,06135881,6.5833333333333
2294,2022-02-04 06:17:28am,2022-02-04 06:22:19am,neutral,05590121,4.85
2271,2022-02-04 06:12:49am,2022-02-04 06:22:26am,neutral,81957952,9.6166666666667
2297,2022-02-04 06:17:39am,2022-02-04 06:22:40am,neutral,52356418,5.0166666666667
2234,2022-02-04 06:06:27am,2022-02-04 06:22:59am,neutral,44898555,16.533333333333
2059,2022-02-04 05:46:32am,2022-02-04 06:23:00am,neutral,90490799,36.466666666667
2273,2022-02-04 06:10:25am,2022-02-04 06:23:15am,neutral,44971760,12.833333333333
2097,2022-02-04 05:49:18am,2022-02-04 06:23:54am,neutral,63519395,34.6
2292,2022-02-04 06:16:23am,2022-02-04 06:24:00am,neutral,36349655,7.6166666666667
2289,2022-02-04 06:16:02am,2022-02-04 06:24:23am,neutral,41859263,8.35
2310,2022-02-04 06:21:16am,2022-02-04 06:25:17am,neutral,45057918,4.0166666666667
2286,2022-02-04 06:15:09am,2022-02-04 06:26:33am,neutral,68205276,11.4
2290,2022-02-04 06:15:34am,2022-02-04 06:26:39am,neutral,12878493,11.083333333333
2256,2022-02-04 06:04:25am,2022-02-04 06:26:41am,neutral,65351981,22.266666666667
2267,2022-02-04 06:11:33am,2022-02-04 06:26:42am,neutral,63748461,15.15
2315,2022-02-04 06:21:47am,2022-02-04 06:26:44am,neutral,05840040,4.95
2283,2022-02-04 06:15:21am,2022-02-04 06:27:07am,neutral,75385410,11.766666666667
2258,2022-02-04 06:11:04am,2022-02-04 06:27:40am,neutral,45204724,16.6
2296,2022-02-04 06:17:43am,2022-02-04 06:27:42am,neutral,90100898,9.9833333333333
2302,2022-02-04 06:19:33am,2022-02-04 06:27:57am,neutral,02514807,8.4
2299,2022-02-04 06:18:15am,2022-02-04 06:28:45am,neutral,49473752,10.5
2300,2022-02-04 06:18:09am,2022-02-04 06:28:50am,neutral,47376659,10.683333333333
2279,2022-02-04 06:14:40am,2022-02-04 06:29:24am,neutral,32650395,14.733333333333
2275,2022-02-04 06:14:05am,2022-02-04 06:29:42am,neutral,12245049,15.616666666667
2261,2022-02-04 06:10:54am,2022-02-04 06:29:46am,neutral,26847066,18.866666666667
2224,2022-02-04 06:08:17am,2022-02-04 06:29:48am,neutral,54095695,21.516666666667
2331,2022-02-04 06:18:33am,2022-02-04 06:29:57am,neutral,13685975,11.4
2249,2022-02-04 06:10:33am,2022-02-04 06:30:13am,neutral,85137276,19.666666666667
2327,2022-02-04 06:23:18am,2022-02-04 06:31:10am,neutral,57026112,7.8666666666667
2306,2022-02-04 06:20:14am,2022-02-04 06:31:17am,neutral,63088204,11.05
2304,2022-02-04 06:19:31am,2022-02-04 06:31:33am,neutral,56203653,12.033333333333
2238,2022-02-04 06:08:38am,2022-02-04 06:31:38am,neutral,78847928,23
2298,2022-02-04 06:17:40am,2022-02-04 06:32:02am,neutral,52909812,14.366666666667
2328,2022-02-04 06:23:30am,2022-02-04 06:32:38am,neutral,06880729,9.1333333333333009
2311,2022-02-04 06:21:23am,2022-02-04 06:34:15am,neutral,09579871,12.866666666667
2344,2022-02-04 06:22:30am,2022-02-04 06:35:07am,neutral,64570620,12.616666666667
2365,2022-02-04 06:31:21am,2022-02-04 06:35:42am,neutral,22444814,4.35
2348,2022-02-04 06:27:44am,2022-02-04 06:36:13am,neutral,56404442,8.4833333333333
2343,2022-02-04 06:27:03am,2022-02-04 06:36:17am,neutral,32447388,9.2333333333333
2245,2022-02-04 06:08:48am,2022-02-04 06:36:33am,neutral,93778721,27.75
2335,2022-02-04 06:24:10am,2022-02-04 06:36:51am,neutral,06418726,12.683333333333
2324,2022-02-04 06:22:49am,2022-02-04 06:36:57am,neutral,08682328,14.133333333333
2226,2022-02-04 06:05:40am,2022-02-04 06:37:02am,neutral,02774193,31.366666666667
2342,2022-02-04 06:26:27am,2022-02-04 06:37:03am,neutral,16162472,10.6
2340,2022-02-04 06:25:33am,2022-02-04 06:37:05am,neutral,66138211,11.533333333333
2280,2022-02-04 06:14:17am,2022-02-04 06:37:17am,neutral,16049506,23
2345,2022-02-04 06:26:53am,2022-02-04 06:37:30am,neutral,97796930,10.616666666667
2350,2022-02-04 06:27:54am,2022-02-04 06:37:37am,neutral,11523389,9.7166666666667
2369,2022-02-04 06:33:53am,2022-02-04 06:38:19am,neutral,29089942,4.4333333333333
2361,2022-02-04 06:29:57am,2022-02-04 06:38:49am,neutral,50891434,8.8666666666667
2347,2022-02-04 06:27:49am,2022-02-04 06:39:26am,neutral,51362458,11.616666666667
2364,2022-02-04 06:30:08am,2022-02-04 06:39:29am,neutral,84560300,9.35
2378,2022-02-04 06:37:11am,2022-02-04 06:39:32am,neutral,16602997,2.35
2349,2022-02-04 06:27:31am,2022-02-04 06:39:55am,neutral,65499595,12.4
2375,2022-02-04 06:36:14am,2022-02-04 06:41:52am,neutral,03245529,5.6333333333333
2385,2022-02-04 06:39:35am,2022-02-04 06:42:44am,neutral,47875407,3.15
2317,2022-02-04 06:22:03am,2022-02-04 06:42:46am,neutral,96937737,20.716666666667
2355,2022-02-04 06:28:42am,2022-02-04 06:42:57am,neutral,22218681,14.25
2360,2022-02-04 06:29:29am,2022-02-04 06:45:07am,neutral,67515434,15.633333333333
2255,2022-02-04 06:10:34am,2022-02-04 06:46:16am,neutral,16023550,35.7
2379,2022-02-04 06:37:02am,2022-02-04 06:46:36am,neutral,35000387,9.5666666666667
2380,2022-02-04 06:36:19am,2022-02-04 06:46:51am,neutral,37805613,10.533333333333
2386,2022-02-04 06:37:57am,2022-02-04 06:48:14am,neutral,80618219,10.283333333333
2367,2022-02-04 06:32:30am,2022-02-04 06:48:33am,neutral,32637906,16.05
2372,2022-02-04 06:34:54am,2022-02-04 06:48:52am,neutral,97357528,13.966666666667
2376,2022-02-04 06:36:03am,2022-02-04 06:50:26am,neutral,03563696,14.383333333333
2393,2022-02-04 06:41:33am,2022-02-04 06:50:46am,neutral,71520994,9.2166666666667
2276,2022-02-04 06:13:18am,2022-02-04 06:51:29am,neutral,45046284,38.183333333333
2384,2022-02-04 06:38:10am,2022-02-04 06:51:50am,neutral,39801391,13.666666666667
2391,2022-02-04 06:41:31am,2022-02-04 06:51:51am,neutral,38295021,10.333333333333
2353,2022-02-04 06:27:08am,2022-02-04 06:52:31am,neutral,96063592,25.383333333333
2370,2022-02-04 06:33:19am,2022-02-04 06:52:58am,neutral,58437356,19.65
2395,2022-02-04 06:43:28am,2022-02-04 06:53:22am,neutral,97618107,9.9
2390,2022-02-04 06:39:52am,2022-02-04 06:53:33am,neutral,84629668,13.683333333333
2383,2022-02-04 06:38:18am,2022-02-04 06:53:51am,neutral,66818130,15.55
2389,2022-02-04 06:40:09am,2022-02-04 06:54:19am,neutral,05868314,14.166666666667
2394,2022-02-04 06:42:56am,2022-02-04 06:55:56am,neutral,32863743,13
2316,2022-02-04 06:22:10am,2022-02-04 06:56:32am,neutral,23344905,34.366666666667
2417,2022-02-04 06:52:13am,2022-02-04 06:57:29am,neutral,06424688,5.2666666666667
2411,2022-02-04 06:48:55am,2022-02-04 06:58:09am,neutral,38877836,9.2333333333333
2330,2022-02-04 06:23:22am,2022-02-04 06:58:30am,neutral,80198744,35.133333333333
2392,2022-02-04 06:40:48am,2022-02-04 06:59:24am,neutral,84653123,18.6
2424,2022-02-04 06:53:31am,2022-02-04 07:00:20am,neutral,08394213,6.8166666666667
2413,2022-02-04 06:49:08am,2022-02-04 07:00:22am,neutral,41505942,11.233333333333
2432,2022-02-04 06:56:49am,2022-02-04 07:01:57am,neutral,68999218,5.1333333333333
2423,2022-02-04 06:54:20am,2022-02-04 07:02:56am,neutral,06305863,8.6
2399,2022-02-04 06:45:02am,2022-02-04 07:03:49am,neutral,09171984,18.783333333333
2382,2022-02-04 06:37:21am,2022-02-04 07:05:23am,neutral,40115945,28.033333333333
2441,2022-02-04 06:59:34am,2022-02-04 07:05:35am,neutral,93812607,6.0166666666667
2415,2022-02-04 06:50:47am,2022-02-04 07:05:53am,neutral,50346540,15.1
2396,2022-02-04 06:43:35am,2022-02-04 07:07:26am,neutral,92190363,23.85
2435,2022-02-04 06:58:19am,2022-02-04 07:07:32am,neutral,87263046,9.2166666666667
2420,2022-02-04 06:52:55am,2022-02-04 07:08:22am,neutral,13719985,15.45
2429,2022-02-04 06:55:49am,2022-02-04 07:09:05am,neutral,44617628,13.266666666667
2421,2022-02-04 06:53:23am,2022-02-04 07:09:56am,neutral,04870525,16.55
2430,2022-02-04 06:56:19am,2022-02-04 07:12:51am,neutral,98838001,16.533333333333
2448,2022-02-04 07:04:20am,2022-02-04 07:13:39am,neutral,56023803,9.3166666666667
2408,2022-02-04 06:46:56am,2022-02-04 07:14:21am,neutral,27521040,27.416666666667
2460,2022-02-04 07:07:42am,2022-02-04 07:14:40am,neutral,77618385,6.9666666666667
2466,2022-02-04 07:10:36am,2022-02-04 07:16:27am,neutral,03126573,5.85
2472,2022-02-04 07:11:33am,2022-02-04 07:16:53am,neutral,35110201,5.3333333333333
2477,2022-02-04 07:13:42am,2022-02-04 07:17:20am,neutral,88058425,3.6333333333333
2457,2022-02-04 07:04:16am,2022-02-04 07:18:51am,neutral,38860784,14.583333333333
2465,2022-02-04 07:10:02am,2022-02-04 07:19:04am,neutral,18588603,9.0333333333333
2445,2022-02-04 07:03:32am,2022-02-04 07:19:12am,neutral,11100310,15.666666666667
